date,game_time,away_team,home_team,away_q1_avg,home_q1_avg,prediction,vegas_game_total,consistency,play,recommendation,confidence
2025-11-18,2025-11-19T00:10:00Z,GSW,ORL,20.2,30.8,53.171715,223.5,1.777875867421809,True,OVER,MEDIUM
2025-11-18,2025-11-19T01:10:00Z,MEM,SAS,31.0,26.6,58.578293,232.5,2.3715728752538094,True,OVER,MEDIUM
2025-11-18,2025-11-19T04:10:00Z,PHX,POR,31.2,27.4,60.005234,236.5,3.784269590998667,True,OVER,HIGH
