date,game_time,away_team,home_team,away_q1_avg,home_q1_avg,prediction,vegas_game_total,consistency,play,recommendation,confidence
2025-11-16,2025-11-16T20:30:00Z,LAC,BOS,30.6,27.4,59.411133,220.5,2.884489705095966,True,OVER,MEDIUM
2025-11-16,2025-11-16T21:00:00Z,SAC,SAS,30.0,28.4,61.238647,240.5,2.3541405924272762,True,OVER,MEDIUM
2025-11-16,2025-11-16T23:00:00Z,BKN,WAS,26.8,30.6,60.472965,233.5,1.6116521188353765,True,OVER,MEDIUM
